id,offerId,title,subheading,userReviewCount,roundedRating,rawPrice,offerCount,usedOnly,shopName,shippingCosts,shippingIsFreeOfCharge,isBestseller,total_capacity_gb,module_capacity_gb,num_modules,frequency_mts,cas_latency_raw,cas_latency_primary,voltage_v,form_factor,market,ram_category
200610372,98b705322dd3ece721d39ac69034e837,Crucial 16GB SODIMM DDR4-3200 CL22 (CT16G4SFRA32A),RAM DDR4,4.0,100.0,99.0,17,False,ebay.it,0.0,False,False,16.0,16.0,1.0,3200.0,CL 22-22-22,22.0,1.2,SODIMM,IT,DDR4
201197757,21f5a8d1a3cb355ed1e1e6271c68252b,G.Skill Ripjaws V 128GB Kit DDR4-2666 CL19 (F4-2666C19Q-128GVK),RAM DDR4,,,1336.86,6,False,kaufland.it,14.9,False,False,128.0,32.0,4.0,2666.0,,19.0,1.2,UDIMM,IT,DDR4
203566395,3d7bd41ad97435fa2d6eea2440ad0792,Kingston FURY Renegade RGB 16GB DDR4-3600 CL16 (KF436C16RB12A/16),RAM DDR4,,,147.12,8,False,4trade.store,9.8,False,False,16.0,16.0,1.0,3600.0,CL 16-20-20,16.0,1.35,UDIMM,IT,DDR4
201662554,bab83ea800231384c22e17e4189c4968,G.Skill Aegis 32GB Kit DDR4-3200 CL16 (F4-3200C16D-32GIS),RAM DDR4,1.0,100.0,213.21,11,False,bpm-power.com/it,8.08,False,False,32.0,16.0,2.0,3200.0,CL 16-18-18-38,16.0,1.35,UDIMM,IT,DDR4
201494125,50fbdb4e46cdbd0fbaab2fc3bd9df713,Kingston FURY Beast 32GB Dual-Kit DDR4-3200 CL16 (KF432C16BB1K2/32),RAM DDR4,6.0,100.0,229.99,13,False,ebay.it,0.0,False,False,32.0,16.0,2.0,3200.0,CL 16-18-18,16.0,1.35,UDIMM,IT,DDR4
4866786,4d08c3d35f19f734e51183a980bfb4ec,G.Skill Ripjaws V 16GB Kit DDR4-3200 CL16 (F4-3200C16D-16GVKB),RAM DDR4,2.0,90.0,113.9,9,False,alternate.it,19.9,False,False,16.0,8.0,2.0,3200.0,CL 16-18-18-38,16.0,1.35,UDIMM,IT,DDR4
201523648,6172c6945fdbb12980862c6f6c6ed37d,Kingston FURY Beast 32GB Dual-Kit DDR4-3200 CL16 (KF432C16BBK2/32),RAM DDR4,,,305.0,14,False,mediaworld.it (MKP),0.0,False,False,32.0,16.0,2.0,3200.0,CL 16-20-20,16.0,1.35,UDIMM,IT,DDR4
206842836,1d449b4d080edb8c60f185a34b2da7d0,Silicon Power XPOWER Pulse 16GB Kit DDR4-3200 C16 (SP016GXLZU320BDI),RAM DDR4,,,99.99,5,False,amazon-marketplace.it,0.0,False,False,16.0,8.0,2.0,3200.0,CL 16-18-18-38,16.0,1.35,UDIMM,IT,DDR4
201522900,3b06b6cb07ad624417dd70df6a454de7,Kingston FURY Beast 16GB Dual-Kit DDR4-3200 CL16 (KF432C16BBK2/16),RAM DDR4,2.0,90.0,164.9,17,False,alternate.it,19.9,False,False,16.0,8.0,2.0,3200.0,CL 16-18-18,16.0,1.35,UDIMM,IT,DDR4
200610271,bc51a47673bb132c5d3642f3017e42ce,Crucial 8GB SODIMM DDR4-3200 CL22 (CT8G4SFRA32A),RAM DDR4,3.0,80.0,68.16,13,False,eweki.it,7.96,False,False,8.0,8.0,1.0,3200.0,CL 22-22-22,22.0,1.2,SODIMM,IT,DDR4
200283632,31f0fd6f74e042081d091a2c40181d12,Patriot Viper Steel 16GB DDR4-3200 CL16 (PVS416G320C6),RAM DDR4,118.0,90.0,118.05,14,False,4trade.store,9.8,False,False,16.0,16.0,1.0,3200.0,CL 16-18-18-36,16.0,1.35,UDIMM,IT,DDR4
4885703,6cfec998fabed9b629dd2d7949903c00,G.Skill Ripjaws V 32GB Kit DDR4-3200 CL16 (F4-3200C16D-32GVK),RAM DDR4,,100.0,213.9,11,False,alternate.it,19.9,False,False,32.0,16.0,2.0,3200.0,CL 16-18-18-38,16.0,1.35,UDIMM,IT,DDR4
200610286,66931eda886417bd82226c2b09a379a4,Crucial 32GB Kit SODIMM DDR4-3200 CL22 (CT2K16G4SFRA32A),RAM DDR4,,,258.99,9,False,PC Componentes IT,0.0,False,False,32.0,16.0,2.0,3200.0,,22.0,1.2,SODIMM,IT,DDR4
201500906,f534cf28eedfea78a7debbb691ea2347,Kingston FURY Beast 8GB Single-Kit DDR4-3200 CL16 (KF432C16BB/8),RAM DDR4,,,75.57,18,False,PC Componentes IT,0.0,False,False,8.0,8.0,1.0,3200.0,CL 16-18-18,16.0,1.35,UDIMM,IT,DDR4
200876454,a38cf8c7cb2031269d5a6b6e6d9e42d1,Corsair Vengeance RGB PRO 32GB Kit DDR4-3200 CL16 (CMW32GX4M2E3200C16),RAM DDR4,2.0,100.0,291.25,17,False,bpm-power.com/it,8.22,False,False,32.0,16.0,2.0,3200.0,CL 16-20-20-38,16.0,1.35,UDIMM,IT,DDR4
201870700,c360fecd6eb5a4b56fafce2dd9a83743,Team Delta RGB 16GB Dual Kit DDR4-3200 CL16 (TF4D416G3200HC16FDC01),RAM DDR4,,,154.4,8,False,redgaming.it,5.9,False,False,16.0,8.0,2.0,3200.0,CL 16-20-20-40,16.0,1.35,UDIMM,IT,DDR4
6111683,3be53368527db5af7a7f871d34ef7ad7,G.Skill Aegis 16GB DDR4-3000 CL16 (F4-3000C16S-16GISB),RAM DDR4,44.0,90.0,102.82,10,False,bpm-power.com/it,5.93,False,False,16.0,16.0,1.0,3000.0,CL 16-18-18-38,16.0,1.2,UDIMM,IT,DDR4
201615365,be03989f739aeb037c115b95e9fd73c3,Team T-Force Vulcan Z 16GB Kit DDR4-3200 CL16 (TLZGD416G3200HC16FDC01),RAM DDR4,63.0,90.0,142.8,7,False,redgaming.it,5.9,False,False,16.0,8.0,2.0,3200.0,CL 16-20-20-40,16.0,1.35,UDIMM,IT,DDR4
203394017,611d1107fee6b61146f8eeac79715a59,Kingston FURY Beast 16GB Kit DDR4-3600 CL17 (KF436C17BB2AK2/16),RAM DDR4,8.0,100.0,163.0,10,False,mediaworld.it (MKP),0.0,False,False,16.0,8.0,2.0,3600.0,CL 17-21-21,17.0,1.35,UDIMM,IT,DDR4
200720890,19cf22df434a40195e19d3bfdd655bde,Corsair Vengeance SO-DIMM 32GB Kit DDR4-3200 CL22 (CMSX32GX4M2A3200C22),RAM DDR4,355.0,90.0,249.11,10,False,PC Componentes IT,0.0,False,False,32.0,16.0,2.0,3200.0,CL 22-22-22-53,22.0,1.2,SODIMM,IT,DDR4
